Date,Open,High,Low,Close,Adj Close,Volume,RHT
2012-09-14,59.540001,60.000000,59.200001,60.000000,60.000000,1884400,RHT
2012-09-17,59.040001,59.389999,58.400002,58.619999,58.619999,2151200,RHT
2012-09-18,58.380001,58.619999,56.950001,57.209999,57.209999,2850100,RHT
2012-09-19,57.369999,57.900002,56.980000,57.580002,57.580002,1703600,RHT
2012-09-20,57.209999,57.500000,56.560001,56.840000,56.840000,2349300,RHT
2012-09-21,57.680000,58.419998,57.590000,57.639999,57.639999,3309300,RHT
2012-09-24,57.810001,57.810001,56.730000,57.540001,57.540001,3674200,RHT
2012-09-25,55.080002,57.060001,55.000000,55.080002,55.080002,5046500,RHT
2012-09-26,55.189999,55.660000,53.669998,54.660000,54.660000,2301100,RHT
2012-09-27,55.060001,56.709999,54.689999,56.639999,56.639999,1847000,RHT
2012-09-28,56.200001,57.189999,55.980000,56.939999,56.939999,2381000,RHT
2012-10-01,57.169998,57.299999,54.799999,55.220001,55.220001,2755700,RHT
2012-10-02,55.549999,55.939999,54.830002,55.459999,55.459999,1190700,RHT
2012-10-03,55.750000,56.160000,55.459999,55.790001,55.790001,1544600,RHT
2012-10-04,55.060001,55.939999,54.419998,55.799999,55.799999,1825300,RHT
2012-10-05,56.189999,56.549999,54.930000,55.209999,55.209999,956300,RHT
2012-10-08,54.869999,55.520000,54.310001,54.410000,54.410000,1183600,RHT
2012-10-09,54.410000,54.500000,53.099998,54.000000,54.000000,1501000,RHT
2012-10-10,53.970001,54.389999,52.930000,53.860001,53.860001,2105600,RHT
2012-10-11,54.279999,54.580002,53.639999,53.770000,53.770000,1260700,RHT
2012-10-12,53.830002,54.450001,53.320000,53.689999,53.689999,1040700,RHT
2012-10-15,53.950001,54.400002,53.410000,54.330002,54.330002,1124500,RHT
2012-10-16,54.259998,54.959999,53.919998,54.660000,54.660000,1581900,RHT
2012-10-17,53.779999,53.970001,51.919998,52.209999,52.209999,3518600,RHT
2012-10-18,52.099998,52.910000,51.439999,52.250000,52.250000,2819500,RHT
2012-10-19,52.020000,52.119999,50.500000,50.730000,50.730000,2723500,RHT
2012-10-22,50.860001,51.200001,50.459999,51.060001,51.060001,1641100,RHT
2012-10-23,50.259998,52.070000,49.919998,51.900002,51.900002,2530400,RHT
2012-10-24,52.340000,52.799999,50.650002,51.240002,51.240002,1751600,RHT
2012-10-25,51.820000,51.869999,49.689999,50.029999,50.029999,2796700,RHT
2012-10-26,50.000000,50.639999,49.439999,50.270000,50.270000,2036400,RHT
2012-10-31,49.509998,50.270000,49.060001,49.169998,49.169998,1362700,RHT
2012-11-01,49.459999,50.880001,48.520000,50.869999,50.869999,3128600,RHT
2012-11-02,51.119999,51.480000,50.590000,50.639999,50.639999,1813900,RHT
2012-11-05,50.439999,50.459999,49.720001,50.110001,50.110001,1455000,RHT
2012-11-06,50.250000,50.599998,49.840000,50.430000,50.430000,1417700,RHT
2012-11-07,49.410000,49.849998,48.650002,48.650002,48.650002,1925600,RHT
2012-11-08,48.680000,49.520000,48.200001,48.330002,48.330002,2012400,RHT
2012-11-09,48.230000,48.950001,48.150002,48.340000,48.340000,1392500,RHT
2012-11-12,48.500000,48.500000,47.450001,47.529999,47.529999,1164700,RHT
2012-11-13,47.279999,47.740002,46.759998,47.410000,47.410000,1727300,RHT
2012-11-14,47.900002,48.439999,47.650002,47.759998,47.759998,1771500,RHT
2012-11-15,47.810001,47.869999,47.080002,47.730000,47.730000,1498400,RHT
2012-11-16,47.880001,48.610001,47.660000,48.450001,48.450001,2129700,RHT
2012-11-19,49.009998,49.209999,48.180000,48.900002,48.900002,1493900,RHT
2012-11-20,48.740002,49.049999,47.770000,48.169998,48.169998,1093800,RHT
2012-11-21,48.270000,49.660000,48.240002,49.060001,49.060001,1628200,RHT
2012-11-23,49.450001,50.000000,49.150002,49.740002,49.740002,579700,RHT
2012-11-26,49.450001,49.740002,49.320000,49.709999,49.709999,1129800,RHT
2012-11-27,49.520000,49.520000,48.099998,48.509998,48.509998,2506500,RHT
