Date,Open,High,Low,Close,Adj Close,Volume,MAR
2012-09-14,40.959999,41.840000,40.689999,41.599998,38.801052,3430400,MAR
2012-09-17,41.259998,41.459999,40.700001,41.160000,38.390659,3247700,MAR
2012-09-18,41.180000,41.279999,40.900002,41.070000,38.306713,1646100,MAR
2012-09-19,41.029999,41.290001,40.860001,40.900002,38.148151,3550300,MAR
2012-09-20,40.380001,40.799999,39.750000,40.750000,38.008244,4018800,MAR
2012-09-21,40.959999,41.000000,40.389999,40.430000,37.709778,3370700,MAR
2012-09-24,40.330002,40.599998,40.000000,40.220001,37.513908,2245100,MAR
2012-09-25,39.779999,40.410000,39.119999,39.139999,36.506565,3505300,MAR
2012-09-26,39.110001,39.279999,38.759998,39.009998,36.385315,2477000,MAR
2012-09-27,39.230000,39.720001,38.950001,39.580002,36.916965,2298600,MAR
2012-09-28,39.349998,39.470001,39.000000,39.099998,36.469257,3023700,MAR
2012-10-01,39.320000,39.639999,38.889999,38.970001,36.348011,3254700,MAR
2012-10-02,39.160000,39.259998,38.500000,38.630001,36.030876,3500700,MAR
2012-10-03,38.860001,39.080002,38.500000,39.000000,36.375984,4667300,MAR
2012-10-04,39.880001,40.299999,38.660000,38.939999,36.320023,6841600,MAR
2012-10-05,38.590000,39.150002,38.000000,38.290001,35.713757,5090500,MAR
2012-10-08,38.200001,39.090000,38.060001,38.730000,36.124149,5050400,MAR
2012-10-09,38.700001,38.840000,38.299999,38.450001,35.862991,3116300,MAR
2012-10-10,38.459999,38.759998,38.160000,38.380001,35.797703,2911600,MAR
2012-10-11,37.730000,38.290001,37.660000,38.169998,35.601833,3491500,MAR
2012-10-12,38.220001,38.639999,37.950001,38.160000,35.592506,2319200,MAR
2012-10-15,38.250000,38.650002,38.150002,38.529999,35.937614,1928500,MAR
2012-10-16,38.810001,38.970001,38.650002,38.889999,36.273388,1485300,MAR
2012-10-17,39.000000,39.000000,38.560001,38.790001,36.180115,1998800,MAR
2012-10-18,38.790001,39.110001,38.580002,38.889999,36.273388,1954600,MAR
2012-10-19,38.669998,38.669998,37.330002,37.529999,35.004890,3505000,MAR
2012-10-22,37.529999,37.990002,37.130001,37.939999,35.387306,2271900,MAR
2012-10-23,37.270000,37.330002,36.840000,36.889999,34.407959,2215500,MAR
2012-10-24,37.070000,37.150002,36.290001,36.439999,33.988232,3704200,MAR
2012-10-25,36.750000,37.049999,36.090000,36.470001,34.016209,4003600,MAR
2012-10-26,36.400002,37.259998,36.330002,36.820000,34.342667,5715400,MAR
2012-10-31,36.779999,36.950001,36.230000,36.480000,34.025543,3793600,MAR
2012-11-01,36.639999,37.150002,36.520000,36.959999,34.473251,2507400,MAR
